Country,Findings,,
Albania,"In Albania, the legal framework established to regulate political finance receives high marks on the Campaign Finance Indicators. Practically speaking, however, enforcement is riddled with deficiencies. Despite the equitable and transparent distribution of direct public funds to political parties and independent candidates, non-financial state resources, like cars, staff, and buildings, the use of which is explicitly prohibited, were frequently abused during the most recent elections. Restrictions on contributions and expenditures are tightly regulated, but the evidence indicates that such restrictions, especially in regards to spending, are often circumvented in practice.  Despite fairly extensive reporting requirements, the information on contributors submitted to the Central Elections Commission (CEC) by parties and candidates is often incomplete. Audit reports of party finances that are available to the public adhere to different formats, and violations and/or abuses of the law happen regularly. Third party actors are marginal figures in Albanian elections, but their influence could increase in the future, as no regulations exist to affect the independent activities of such organizations during campaigns. The CEC, despite having strong legal powers, lacks the practical capacity to investigate and enforce political finance laws. Allegations of abuse, including vote buying, are prevalent, and the CEC in unable to practice effective enforcement in many cases.",,
Argentina,"Argentina has a fairly sophisticated legal framework in place to govern the role of money during elections. In practice, parties receive the direct and indirect public funding to which they are due in law. In spite of clear prohibitions on their use in campaigns, non-financial state resources, including staff, were frequently deployed by the ruling party for electoral purposes during the 2013 campaign. The legal framework includes many restrictions on contribution and expenditure, but the MPT evidence suggests that all national parties violated political finance laws during the 2013 elections. Parties are required to report on their finances somewhat regularly, but in practice, filed reports often fail to include a full list of contributors.  All legal entities, including third party actors, are legally prohibited from engaging in electoral activities. Nevertheless, in practice, some activity occurs, and experts express concerns about the influence of organized crime syndicates during campaigns. The National Electoral Justice is the authority in charge of regulating political finance, and is widely recognized as independent and active. The NEJ carries out investigations and punishes violators, but since the sanctions spelled out in law are weak, parties continue to engage in political finance violations. In spite of its strong regulatory framework, Argentina's practical enforcement mechanisms are dogged by deficits of capacity and capability.",,
Australia,"The Australian political finance system is relatively sparse. Direct public funding is provided to candidates and parties, both in law and in practice, but no laws explicitly prohibit the use of non-financial state resources during campaigns, nor is there subsidized access to advertising. Few restrictions exist to limit contributions or expenditure during campaigns, and only contributions worth more than $12,400 (USD) must be reported. As a result, corporations and individual donors pour a good deal of money into politics, though ascertaining exact funding streams can be a difficult task. Parties and candidates submit financial reports regularly to the Australian Electoral Commission (AEC), and that information, in practice, is made available to the public in a standardized, machine readable format. In fact, Australia is one of two countries in the MPT sample to meet this standard. Third party actors who spend in excess of $12,400 in campaigns are required to report to the AEC, and that information is eventually made available to the public. Because of the absence of contribution limits, third party actors are not hugely important in Australian campaigns--money can legally be funneled directly to parties and candidates. The AEC is well-respected, and exercises independent investigations. It lacks, however, the legal authority to impose sanctions, and has not initiated prosecutions of violators in more than seven years.",,
Austria,"In Austria, political finance is subject to relatively little regulation. Parties are provided with direct public funding, though the fashion in which allocations and disbursements of state funds are made is not entirely transparent. The abuse of non-financial state resources in campaigns is not explicitly barred, but notably, in practice, no such abuses occurred during the most recent elections. Contributions are largely unrestricted, while both parties and candidates are limited to expenditures of no more than 7 million euros during the course of a campaign. The evidence indicates that at least two parties exceeded those expenditure caps during the 2013 parliamentary elections.  Reporting requirements are sparse: by law, parties must only submit annual financial reports to the electoral authority. In practice, few details are available, and not all reported information is available to the public in standardized, comparable formats. The independent political activities of third party actors are unregulated, and in practice, at least one such actor played a role in the 2013 campaign. Responsibilities for monitoring and enforcing political finance law is split between the Court of Audit and the Transparency Commission, each of which are largely independent, though the Transparency commission is still new, and thus difficult to assess.  The Commission is charged with investigating political finance issues, and does so in practice, but does not make any information on its work available to the public. By the conclusion of the study period, it had yet to impose any sanctions on violators of political finance laws.",,
Bangladesh,"In Bangladesh, no direct or indirect public funding is provided to parties or candidates. Non-financial state resources were frequently abused during the most recent campaign. Some limits on contributions exist, and parties and candidates are both subject to restrictions on spending during campaigns. In spite of existing regulations on these issues, the evidence suggests that limits on both spending and donations are breached regularly. The law specifies some reporting requirements for parties and candidates, but in practice, those requirements are rarely adhered to. The Electoral Commission scans and publishes many of the incomplete reports that they receive, but that information is available only in pdf or hard copy, which makes parsing and analyzing financial reports difficult. Third party actors are present in Bangladesh. However, no laws restrict their independent political activity. The Bangladeshi Electoral Commission is charged with monitoring and enforcing political finance laws, but in practice, the agency is hamstrung by a lack of staff and budget. Despite sometimes imposing sanctions on parties and candidates that violate the legal framework, political actors continue to break the law, and concerns about the Commission's independence and efficacy persist.",,
Belgium,"In law, Belgium provides some direct public funding for parties, though no indirect funding is available. Non-financial resources, by and large, are not abused during election campaigns. Spending during campaigns is limited, as are some forms of contribution, but loopholes exist, including a lack of restrictions on foreign donations and the absence of requirements to mandate the reporting of loans. Violations of the legal regulations pertaining to donations and spending are rare in Belgium. Reporting requirements are relatively sparse: in law, parties must report annually and after elections, while candidates are required to submit only post-election financial reports. In practice, these reports tend to contain only a partially itemized list of donors and the amounts they contribute. Accessing the financial information of political actors is difficult, as reports are only made available to the public for a 15 day period after the conclusion of elections. Further complicating matters is the fact that the information is not accessible in a machine readable format. Despite these issues, few violations of the law occurred during the May 2014 elections in Belgium. The independent activities of third party actors are not regulated by Belgian law, but such organizations have been largely absent to date, with the exception of one organization active during the local elections of 2012. A legislative committee, the Control Commission, is in charge of monitoring and enforcing political finance. As part of the legislature, it cannot be considered independent. Nevertheless, the Commission does have the legal authority to withhold public subsidies from parties it deems in violation of the law, though it rarely does so in practice. Where individual candidates are concerned, the Commission can only refer potential violators to the court system, from whom little information about sanctions is available. The Commission's lack of formal independence, and its weak powers, are seen as impediments to effective enforcement of political finance laws.",,
Bolivia,"Bolivia's political finance regime, due to recent reforms, does not include direct public funding for political parties or candidates. Political advertising is regulated by the electoral authority, which assures free, equitable access to public media advertising slots for all electoral competitors. Non-financial state resources are frequently abused in Bolivia, especially by MAS, the current ruling party. Very few legal restrictions on contribution and expenditure exist: spending during campaigns is not capped, while limits on individual and corporate donations apply only to contributions to parties. In consequence, parties and candidates are largely privately funded, though MAS avails itself of public resources, legally and illegally, on a regular basis. Reporting requirements mandate that parties submit detailed pre and post election reports on their finances, as well as annual reports. Candidates are under no such obligations. In practice, party reports are quite detailed, and include an itemized list of contributions and contributors. None of that information, however, is made available to the public in any format. As a result, the media does not use official political finance data in its reporting. The independent political activities of third party vehicles, such as social organizations and groups of public employees, are not regulated, despite their presence in the electoral landscape. The Bolivian oversight authority, the Electoral Court (TSE), has no explicit investigatory powers in law. Appointments to that body are supposed to be independent and merit-based, but the MPT evidence suggests that they are often, in practice, compromised. The TSE does not investigate potential violations of political finance laws, but it can and does penalize parties for failing to submit their financial reports in the prescribed format. Because the TSE is subordinated to MAS, enforcement is highly uneven.",,
Bosnia and Herzegovina,"Similar to many other Eastern European countries, Bosnia has created a sophisticated political finance regulatory system. In practice, however, de facto realities often do not align with the legal framework. In law, direct public funding exists for both parties and candidates, but allocations are not always made in accordance with the legal formula, and details on disbursements are published only long after money is distributed. Likewise, in law, parties are granted free, equitable access to public media during campaigns, but in practice, the time afforded to different parties frequently fails to accord with the legal requirements Furthermore, non-financial state resources are often abused during campaigns. Contributions and expenditures are highly regulated, though cash donations are not limited in any way. In practice, these limits were regularly contravened during the 2010 elections. Parties are required to report on their finances before and after elections, as well as annually. In practice, reports are often filed late, or not at all, and some contributions are frequently omitted. The Central Elections Commission (CEC) only publishes extracts of filed reports, so limited political finance information is available to the public. Despite reports of third party activity, the independent electioneering of such actors is not regulated by law. The CEC is granted strong legal powers to monitor and enforce political finance, but its ability to rigorously enforce political finance legislation is constrained by a lack of capacity and deficits in operational transparency. Though the CEC imposes sanctions, in practice, parties continue to violate the law, especially where reporting requirements are concerned, on a regular basis. Until more intimidating sanctions are legally defined, and the CEC is given the practical capacity to carry out its remit, enforcement may continue to suffer.",,
Botswana,"In the main, political finance is unregulated in Botswana. No direct or indirect mechanisms of public funding exist, and non-financial state resources are regularly abused during campaigns. Restrictions on contribution and expenditure exist, but are so outdated that the Independent Electoral Commission (IEC) has not enforced them for many years. According to the law, candidates are supposed to report their financial information after campaigns, but in practice, no such reporting occurs, as the IEC also declines to enforce these provisions. The political actions of third party actors are not at all regulated. The IEC is weak, and plays little role in the enforcement of political finance laws.",,
Brazil,"Brazil, in law and in practice, provides a good deal of direct public funding to parties during campaigns. Indirect funding, in the form of free access to advertising on public and private media, is equitably provided to both parties and candidates. Non-financial state resources, in spite of a ban on their use during campaigns, are often deployed for electoral gain. With the exception of cash donations, most forms of contribution are subject to a limit, but expenditure is essentially uncapped, as parties are supposed to set and adhere to their own unique spending limits. This leads to a situation in which parties stipulate extremely high spending limits that enable huge amounts of campaign expenditures. Limits on contributions are often contravened in practice. In law, parties are subject to extensive reporting requirements, and candidates are supposed to report detailed information during campaigns. In practice, political actors often fail to comply with these requirements, and many reports omit contributions. Submitted reports are made available online, but not all are in standardized, machine readable formats. Violations of political finance laws, including vote buying, were frequent during the 2010 elections. The independent activities of third party actors are not regulated, and many such organizations actively participate in campaigning. The Superior Electoral Court (TSE) is charged with monitoring and enforcing political finance laws, and in practice, the TSE is mostly independent, with appointments made based on merit. It has limited capacity due to the scope of its work, but still carries out investigations into violations, and imposes sanctions on violators. However, only some of these sanctions are complied with, and violations continue to occur. ",,
