number,name,section,subsection,type,criteria,comment
1,"In law, there is direct public funding for electoral campaigns.",1,1,1,"A YES score is earned where there is direct public funding for both political parties and individual candidates to campaign. A 100 also applies where only one of the two actors can be elected and, therefore, only one is entitled to direct public funding.  

A MODERATE score is earned where per law only one of the two actors (either political parties or individual candidates) is allocated direct public funding to campaign, even though both can be elected. 

 A NO score is earned where no such law exists.",
2,"In law, there is a transparent and equitable mechanism to determine direct public funding for electoral campaigns.",1,1,1,"A YES score is earned where: 1) direct public funding for political parties and individual candidates' electoral campaigns is allocated through a clearly defined calculation mechanism that is transparent and equitable, and 2) there are clearly defined eligibility criteria.  

A MODERATE score is earned where direct public funding for political party and individual candidates' electoral campaigns is allocated through a clearly defined calculation mechanism that is transparent and equitable, but eligibility criteria are not clearly defined.  

A NO score is earned where no such law exists.",
3,"In practice, to what extent is the mechanism to determine direct public funding for electoral campaigns transparent, equitable and consistently applied?",1,1,2,"A 100 score is earned where: 1) electoral campaigns allocations are always defined through a clearly defined transparent and equitable calculation mechanism, and 2) the defined eligibility criteria are applied consistently.  

A 50 score is earned where: 1) electoral campaign allocations are usually defined through a clearly defined transparent and equitable calculation mechanism but exceptions exist, or 2) the eligibility criteria are usually applied but exceptions exist.  

A 0 score is earned where: 1) political campaign allocations are rarely or never defined through a clearly defined transparent and equitable calculation mechanism, or 2) the defined eligibility criteria are rarely applied.","*In countries where direct public funding is not de jure available, this de facto indicator is not applicable.  In such cases, a score of 50 has been applied."
4,"In practice, to what extent does the entity in charge of public funding make disbursement information publicly available?",1,1,2,"A 100 score is earned where: 1) complete information on the disbursements is published less than a month after disbursement, and 2) the information is available on the Internet for free or in hard copy at photocopying cost.  

A 50 score is earned where: 1) the information published is incomplete or published more than two months after disbursement, or 2) obtaining the information costs more than photocopying. 

A 0 score is earned where: 1) disbursement information is published more than four months after disbursement, or 2) no disbursement information is published or released upon request.","*In countries where direct public funding is not de jure available, this de facto indicator is not applicable.  In such cases, a score of 50 has been applied."
5,"In law, use of state resources in favor of or against political parties and individual candidates is prohibited.",2,1,1,"A YES score is earned where there is an explicit ban on the use of state resources in favor of or against political parties and individual candidates. A YES is also earned where there are clearly defined exceptions, which are accessible to all actors equally.   

A MODERATE score is earned where an explicit ban exists but it only applies to one of the two actors, even though both can be elected.  A NO score is earned where no such law exists. 

A NO score is also earned where the law exists, but allows discretionary exceptions.",
6,"In practice, to what extent are no state resources used in favor of or against political parties and individual candidates' electoral campaigns?",2,1,2,"A 100 score is earned where there is no evidence of authorities using state resources in favor of or against political parties and individual candidates. A 100 is also earned where there are clearly defined exceptions and are equally accessible to all actors.  

A 50 score is earned where: 1) documented evidence indicates occasional use of state resources in favor of or against political parties and individual candidates, or 2) clearly defined exceptions are not equally accessible to all actors.  

A 0 score is earned where documented evidence indicates regular use of state resources in favor of or against certain political parties and individual candidates.",
7,"In law, political parties and individual candidates have free or subsidized access to equitable air time for electoral campaigns?",2,1,1,"A YES score is earned where: 1) free or subsidized access to air time for electoral campaigns is granted in a transparent, equitable way, and 2) there are clearly defined eligibility criteria.  

A MODERATE score is earned where free or subsidized access to air time for electoral campaigns is granted in a transparent, equitable way, but eligibility criteria are not clearly defined.  

A NO score is earned where no such law exists.",
8,"In practice, to what extent is free or subsidized access to air time provided in a transparent, equitable way to political parties and individual candidates for electoral campaigns?",2,1,2,"A 100 score is earned where: 1) free or subsidized access to media advertising is always provided in a transparent and equitable way, and 2) the defined eligibility criteria are applied consistently.  

A 50 score is earned where: 1) free or subsidized access to media advertising is usually provided in a transparent and equitable way, but exceptions exist, or 2) the eligibility criteria are not always applied.  

A 0 score is earned where: 1) there's rarely free or subsidized access to air time for political campaign, and 2) access exists but is not provided in a transparent, equitable way.","*In countries where free or subsidized media access  is not de jure available, this de facto indicator is not applicable.  In such cases, a score of 50 has been applied."
9,"In law, cash contributions are banned.",1,2,1,"A YES score is earned where cash contributions are banned and all financial contributions must be made via the banking system.  

A MODERATE score is earned where cash contributions are allowed up to a maximum limit, regardless of the limit.  

A NO score is earned where no such law exists.",
10,"In law, there is a ban on anonymous contributions.",1,2,1,"A YES score is earned where the law stipulates that anonymous contributions are banned.   

A MODERATE score is earned where the ban exists, but it applies only to one actor (whether political parties or individual candidates). A MODERATE score is also earned where small anonymous donations are allowed up to a maximum threshold equal to or less than the equivalent to US$300. 

A NO score is earned where no such law exists.",
