code,name,aggregate_score,in_law_score,in_practice_score,findings,electoral_system
AL,Albania,57,84,40,"In Albania, the legal framework established to regulate political finance receives high marks on the Campaign Finance Indicators. Practically speaking, however, enforcement is riddled with deficiencies. Despite the equitable and transparent distribution of direct public funds to political parties and independent candidates, non-financial state resources, like cars, staff, and buildings, the use of which is explicitly prohibited, were frequently abused during the most recent elections. Restrictions on contributions and expenditures are tightly regulated, but the evidence indicates that such restrictions, especially in regards to spending, are often circumvented in practice.  Despite fairly extensive reporting requirements, the information on contributors submitted to the Central Elections Commission (CEC) by parties and candidates is often incomplete. Audit reports of party finances that are available to the public adhere to different formats, and violations and/or abuses of the law happen regularly. Third party actors are marginal figures in Albanian elections, but their influence could increase in the future, as no regulations exist to affect the independent activities of such organizations during campaigns. The CEC, despite having strong legal powers, lacks the practical capacity to investigate and enforce political finance laws. Allegations of abuse, including vote buying, are prevalent, and the CEC in unable to practice effective enforcement in many cases.","Albania is a parliamentary republic with a unicameral legislature.  Parliament consists of 140 members elected through regional proportional representation every four years.  The most recent elections occurred in June of 2013.

The official head of state is the President, who is elected by parliament in a supermajority vote (3/5 of its members must support a nominee) after his candidacy is proposed by a group of no less than 20 members of parliament.

In the parliamentary elections held in the Republic of Albania on 23 June 2013, there were 68 political subjects, including 66 parties and two independent candidates. In this process were elected the 140 members of the parliament. Two coalitions were created by 61 political parties, i.e. the Alliance for European Albania Coalition (37 parties) and the Alliance for Employment, Welfare and Integration Coalition (24 parties). Upon completion of the voting process, the CEC decided (Decision No. 759, dated 06.08.2013) as follows:

The Alliance for European Albania Coalition was allocated 83 seats in the Assembly:
1. The Socialist Party received 713 407 votes, i.e. 41,36% or 65 mandates.
2. Socialist Movement for Integration received 180 470 votes, i.e. 10,46% or 16 mandates.
3. The Union for Human Rights Party received 14 722 votes, i.e. 0,85% or 1 mandate.
4. Democratic Christian Party received 7993 votes, i.e. 0,46% or 1 mandate.

The Alliance for Employment, Welfare and Integration Coalition received 57 seats in the Assembly.
1. The Democratic Party received 528 373 votes, i.e. 30,63% or 50 mandates.
2. The Republican Party received 52 168 votes, i.e. 3,02% or 3 mandates.
3. The Party for Justice, Integrity, and Unity received 44 957 votes, i.e. 2,61% or 4 mandates.

Candidates are selected for each electoral zone by the political parties, electoral coalitions, and voters. A candidate may only represent one party.  

Money is officially managed by the parties through the party bank accounts. According to our electoral law, individual candidates and coalitions are not obliged to declare their electoral funds and expenditures. In addition, individual candidates may not be direct beneficiaries of public funds. This, however, does not mean that candidates do not actually raise funds or make undeclared expenditures. Informality is quite wide-spread in Albania, both in the economic sectors, and in the society. There have been an increasing number of candidates in the last elections coming from business families, or owing considerable assets and companies.  

In the parliamentary elections held in the Republic of Albania on 23 June 2013, there were 68 political subjects, including 66 parties and two independent candidates. The political parties stated that they had accumulated a fund of 241,211,140 ALL  to support their campaign activities. It was the first time in the short history of the allegations about financial resources of election campaigns that donations were declared as the top source of funds in terms of their value.

According to what the parties claim, 50 % of the money made available to the campaign was money donated by donors. Public funds, on the other hand, were ranked as second, with only 27.59 % of the campaigns total fund. Parties’ own funds, i.e. membership fees accumulated through the years, were reported to have covered 15.3 % of their total campaign funds.

Parties’ own funds consist of the funds they get every year from the state budget (this applies to parliamentary parties only), interests of their bank deposits, membership fees, and even incomes from lease agreements, as was the case with one political party in the last elections.

Another source of funding available for the parties by law is free advertising provided by radio and television channels against the recognition of its cost by the Tax Office as a deductible expense. According to their financial statements, the political parties spent more than they were entitled to by law, causing thus electoral debts.  Such debt represents 36.54% of the total expenditures for the 2013 elections. It is the media, which is damaged by such debts, as most of the invoices issued by the media outlets were not paid.  However, none of the radio and TV stations, or other media companies, claimed the payment of this debt through the administrative or the regular district courts. The relationship between the media and political parties as a relationship between the debtor and the creditor affects the principle of independence both for the media. Still, electoral debt is a phenomenon that characterizes the three last elections, i.e. 2013; 2011; 2009, with the two largest parties currently in power being the main parties taking this approach."
AR,Argentina,72,91,60,"Argentina has a fairly sophisticated legal framework in place to govern the role of money during elections. In practice, parties receive the direct and indirect public funding to which they are due in law. In spite of clear prohibitions on their use in campaigns, non-financial state resources, including staff, were frequently deployed by the ruling party for electoral purposes during the 2013 campaign. The legal framework includes many restrictions on contribution and expenditure, but the MPT evidence suggests that all national parties violated political finance laws during the 2013 elections. Parties are required to report on their finances somewhat regularly, but in practice, filed reports often fail to include a full list of contributors.  All legal entities, including third party actors, are legally prohibited from engaging in electoral activities. Nevertheless, in practice, some activity occurs, and experts express concerns about the influence of organized crime syndicates during campaigns. The National Electoral Justice is the authority in charge of regulating political finance, and is widely recognized as independent and active. The NEJ carries out investigations and punishes violators, but since the sanctions spelled out in law are weak, parties continue to engage in political finance violations. In spite of its strong regulatory framework, Argentina's practical enforcement mechanisms are dogged by deficits of capacity and capability.","Argentina has national elections for a Presdiential executive and a bicameral congress. Voting in national elections is compulsory for citizens between 18 and 70 years old. 

The Legislative Branch is formed by two Chambers: Representatives’ Chamber and Senators’ Chamber.  Elections are partially simultaneous with presidential elections. A third of the Senate and half of the Representatives' Chamber are renewed every two years.

The Representatives Chamber is formed by 257 Deputies or Representatives, elected by half every two years. Their mandate is 4 years, and they can be re-elected indefinitely.  They are elected directly by citizens in each of the 24 districts (23 provinces and Buenos Aires City) through closed list with proportional representation. To each district corresponds an specific amount of seats, according to the population.

The Senators Chamber is formed by 72 Senators.  Three seats correspond to each of the 24 districts. Two senate seats per district go to the party receiving the highest number of votes, and the other seat goes to the first minority party. They are elected through a closed list, directly by the citizens of each district. 

Individual candidates are not allowed to participate in elections. Only political parties can nominate candidates in national elections.  Parties are the only actor allowed to receive funds and shall file complete reports on income and expenditures.

The most recent Legislative elections took place in October 2013, and the most recent simultaneous Presidential and legislative elections took place in October 2011.

The Argentine electoral system is complex because in it 25 electoral systems, one national and 24 provincial, interact. Districts can decide whether to hold simultaneous elections (for example provincial offices and national offices at the same time or separate elections for each level of positions)."
AT,Austria,33,36,45,"In Austria, political finance is subject to relatively little regulation. Parties are provided with direct public funding, though the fashion in which allocations and disbursements of state funds are made is not entirely transparent. The abuse of non-financial state resources in campaigns is not explicitly barred, but notably, in practice, no such abuses occurred during the most recent elections. Contributions are largely unrestricted, while both parties and candidates are limited to expenditures of no more than 7 million euros during the course of a campaign. The evidence indicates that at least two parties exceeded those expenditure caps during the 2013 parliamentary elections.  Reporting requirements are sparse: by law, parties must only submit annual financial reports to the electoral authority. In practice, few details are available, and not all reported information is available to the public in standardized, comparable formats. The independent political activities of third party actors are unregulated, and in practice, at least one such actor played a role in the 2013 campaign. Responsibilities for monitoring and enforcing political finance law is split between the Court of Audit and the Transparency Commission, each of which are largely independent, though the Transparency commission is still new, and thus difficult to assess.  The Commission is charged with investigating political finance issues, and does so in practice, but does not make any information on its work available to the public. By the conclusion of the study period, it had yet to impose any sanctions on violators of political finance laws.","Austria has a bicamerial legislature.  The National Council (Nationalrat) has 183 members that are elected for five-year terms through a proportional system of representation using candidate lists and preferential voting.  There are nine constituencies corresponding to the federal provinces, which are in turn divided into 39 regional constituencies, each of which has between one and eight seats depending on its population.  Voters choose a political party, and also can cast preferential votes for one national, one regional, and one local list candidate of the same party.  Parties have to pass a threshold of four per cent of the national vote to be represented in the National Council.

The Federal Council (Bundesrat) is composed of 61 members and represents the interests of the nine federal provinces. All members of the Federal Council are selected by the nine provincial parliaments according to the respective strength of political parties in the last provincial elections. The Federal Council has limited powers, as its veto can be overturned by the National Council with a simple majority vote.

Campaigns are largely funded and managed by the respective political party on a national level, whereby campaign activities are also carried out by regional and local party sections.

The most recent elections to the National Council took place in September of 2013.  The Social Democratic Party of Austria (SPÖ, 52 seats) is in a ruling coalition with the Austrian People’s Party (ÖVP, 47 seats). The Freedom Party of Austria (FPÖ, 40 seats), the Greens (Grüne, 24 seats), Team Stronach (11 seats) and NEOS (9 seats) are currently in opposition.

The President is the head of state and is elected directly by the people for a maximum of two consecutive six-year terms. According to the Austrian constitution, the President has some strong powers: he appoints the prime minister (Federal Chancellor – Bundeskanzler) and, upon proposal by the Federal Chancellor, also the other members of the federal government (ministers and state secretaries). 

The government also needs the support support of parliamentary majority: the National Council may force the government – and any minister – to resign by a vote of no confidence, which has to be supported by simple majority. For this reason the Austrian political system works mainly as a parliamentarian government, whereby in practice Members of Parliament of the ruling parties rarely ever question any action of the government; the role of the President is largely ceremonial. 

Within the government, the Federal Chancellor is head of the Federal Chancellery (Bundeskanzleramt, which also serves a ministry) but has only limited additional powers to coordinate work of the whole government."
AU,Australia,49,41,67,"The Australian political finance system is relatively sparse. Direct public funding is provided to candidates and parties, both in law and in practice, but no laws explicitly prohibit the use of non-financial state resources during campaigns, nor is there subsidized access to advertising. Few restrictions exist to limit contributions or expenditure during campaigns, and only contributions worth more than $12,400 (USD) must be reported. As a result, corporations and individual donors pour a good deal of money into politics, though ascertaining exact funding streams can be a difficult task. Parties and candidates submit financial reports regularly to the Australian Electoral Commission (AEC), and that information, in practice, is made available to the public in a standardized, machine readable format. In fact, Australia is one of two countries in the MPT sample to meet this standard. Third party actors who spend in excess of $12,400 in campaigns are required to report to the AEC, and that information is eventually made available to the public. Because of the absence of contribution limits, third party actors are not hugely important in Australian campaigns--money can legally be funneled directly to parties and candidates. The AEC is well-respected, and exercises independent investigations. It lacks, however, the legal authority to impose sanctions, and has not initiated prosecutions of violators in more than seven years.","Australia has a bicameral legislative system in which the Queen (or King) of England is the official head of state.  The Queen is represented by the Governor-General, who is appointed by the monarch on the recommendation of the government of the day.  The prime minister, elected as the leader of the party/coalition in government, acts as the head of government.

Australia is commonly referred to as having a ""Washminster"" system, as it meshes aspects of the British and US legislatures.  Government is formed by a majority in the House of Representatives, and the Prime Minister is traditionally a Member of the House.  The House and Senate have similar legislative powers, though monetary Bills (e.g. Budget, Bills with budgetary implications) need to be introduced in the house.  All legislation needs to be passed by both Houses in the same form, to be enacted.  

The lower house of Parliament, the House of Representatives, has 150 members who are elected via preferential voting in single member districts.  The upper house, the Senate, has a quasi-proportional voting system to elect its 76 members (12 from each of six states - irrespective of the number of voters in each state; and two from each of two territories).  Elections are held approximately every three years, for all House of Representatives seats, and half the state Senate seats (six-year terms) and all territory Senate seats. Although there is no formal requirement to do so, for practical reasons House and Senate elections have been held concurrently since 1974.  

Campaign funds are generally (though not always) managed by parties on behalf of their endorsed candidates, though candidates themselves are free to source donations.  Candidates can also manage their own funds, but this usually does not happen for larger parties.  Independent candidates, however, manage their own funds.  Parties submit financial figures for their endorsed candidates annually.  Campaign funds are generally managed by the party on behalf of their endorsed candidates.  

The most recent elections were held in September 2013, and in Western Australian, a second election for Senate positions was held in April 2014, following the 2013 election being declared void.  As a result of these elections, the Liberal/National Coalition won Government with 90 seats, the Labor Party, with 55 seats is the official Opposition, with minor parties and Independents holding the remaining five seats.

In the Senate, from July 2014 when newly-elected Senators take up their seats, the composition is 33 Coalition, 25 Labor, 10 Greens, 3 Palmer United,  and five minor party and Independent Senators.  This is typical of recent decades, where the government usually does not control a majority in the Senate (2005-07 being an exception)."
BA,Bosnia and Herzegovina,48,73,35,"Similar to many other Eastern European countries, Bosnia has created a sophisticated political finance regulatory system. In practice, however, de facto realities often do not align with the legal framework. In law, direct public funding exists for both parties and candidates, but allocations are not always made in accordance with the legal formula, and details on disbursements are published only long after money is distributed. Likewise, in law, parties are granted free, equitable access to public media during campaigns, but in practice, the time afforded to different parties frequently fails to accord with the legal requirements Furthermore, non-financial state resources are often abused during campaigns. Contributions and expenditures are highly regulated, though cash donations are not limited in any way. In practice, these limits were regularly contravened during the 2010 elections. Parties are required to report on their finances before and after elections, as well as annually. In practice, reports are often filed late, or not at all, and some contributions are frequently omitted. The Central Elections Commission (CEC) only publishes extracts of filed reports, so limited political finance information is available to the public. Despite reports of third party activity, the independent electioneering of such actors is not regulated by law. The CEC is granted strong legal powers to monitor and enforce political finance, but its ability to rigorously enforce political finance legislation is constrained by a lack of capacity and deficits in operational transparency. Though the CEC imposes sanctions, in practice, parties continue to violate the law, especially where reporting requirements are concerned, on a regular basis. Until more intimidating sanctions are legally defined, and the CEC is given the practical capacity to carry out its remit, enforcement may continue to suffer.","BiH has a bicameral parliamentary system of government, and the country is composed of two semi-autonomous entities, the Federation of Bosnia Herzegovina (FBiH) and the Republic of Srpska (RS).  The Brcko District has special status and doesn't belong to any entity but enjoys autonomy. .  Of the 42 members of the House of Representatives, 28 are elected in the Federation of BiH, and 14 are elected in the Republic of Srpska.  21 of the Federation representatives are elected in multi-member constituencies under a proportional represenation system, and seven are compensatory mandates elected from the territory of the Federation as a whole.  In the Republic of Srpska, nine MPs are elected in multi-member constituencies under proporational representation, and five are compensatory mandates elected from the territory as a whole.

The House of Peoples is composed of 15 delegates, 10 of whom come from the Federation (five Croats and five Bosniaks), and five come from the Republic of Srpska (five Serbs).  At the state level, there is Parliament of BiH with two chambers, state government and three member Presidency, which is collective head of state.  Members of this body are elected by entity Parliaments.

Members of the Presidency are directly elected, one from Republic of Srpska (must be a Serb) and two from Federation BiH (one Bosniac and one Croat)

The main source of financing political campaigns for parties already represented in parliaments is regular annual  transfer from budgets, membership fee from members of political party, income from publishing activity, profit from companies owned by party and contribution from individuals and private companies. Indeed, according to the official financial reports of political parties, most of the funds for the campaigns, as well as for the annual finance, come from the public subsidies awarded from all levels of government (as presented in the indicators related to the public funding). These funds, as well as membership fees, and most of the donations, are controlled and distributed by the parties, and camoaigns are run on the party level. However,  candidates (including those nominated by the party) have a possibility to raise their own funds and pay for their individual campaigns, while this part of campaign funding is not reported neither by the party nor by the candidate. 

In the 2010 election, the elected members of the presidency were: Zeljko Komsic (Social  Democratic Party - SDP), Bakir Izetbegovic (Party of Democratic Action - SDA), and Nebojsa Radmanovic (Alliance of Independent Social Democrats Milorad Dodik - SNSD Milorad Dodik). 

The seats in the national Parliamentary Assembly were won by thefollowing  parties: SDP 8 seats, SNSD 8 seats, SDA 7 seats, SDS 4 seats, SBB 4 seats, HDZ BiH 3 seats, SBiH 2 seats,Coration coalition HDZ 1990-HSP 2 seats, PDP 1 seat, DNS 1 seat, DNZ BiH 1 seat, and 1 seat as a compensational mandate for NSRZB."
BD,Bangladesh,41,56,33,"In Bangladesh, no direct or indirect public funding is provided to parties or candidates. Non-financial state resources were frequently abused during the most recent campaign. Some limits on contributions exist, and parties and candidates are both subject to restrictions on spending during campaigns. In spite of existing regulations on these issues, the evidence suggests that limits on both spending and donations are breached regularly. The law specifies some reporting requirements for parties and candidates, but in practice, those requirements are rarely adhered to. The Electoral Commission scans and publishes many of the incomplete reports that they receive, but that information is available only in pdf or hard copy, which makes parsing and analyzing financial reports difficult. Third party actors are present in Bangladesh. However, no laws restrict their independent political activity. The Bangladeshi Electoral Commission is charged with monitoring and enforcing political finance laws, but in practice, the agency is hamstrung by a lack of staff and budget. Despite sometimes imposing sanctions on parties and candidates that violate the legal framework, political actors continue to break the law, and concerns about the Commission's independence and efficacy persist.","Bangladesh has a unicameral parliamentary system of government.  The national parliament, the Jatiya Sangsad, has 300 members elected in single member constituencies on the basis of first past the post voting.  Once a government is formed post-election, an additional 50 members appointed to so-called ""reserved"" seats after their approval by elected MPs.  For the reserved seats, candidates are nominated by the respective parties from the female party members. The reserved seats are determined proportionate to the number of seats a party has in the parliament (one reserved seat for every six seats). However, the nominated candidates have to go through a nomination process in their respective parties (submission of nomination forms, submission of information to the EC, interview etc.).

Candidates tend to manage their own funds for their electoral campaigns after being nominated by their party.  Such funds are usually made up of personal income, familial contributions, and party contributions.  At the national level, parties also run campaigns with monies raised from membership fees and business donors.

The Prime Minister is the head of government in Bangladesh, and he/she is nominated and selected by the leading party in the Jatiya Sangsad.  The ruling party also nominates a President, who is then elected by MPs to serve as the ceremonial head of state.

According to the Constitution [Article 48 (3)], the President possesses the authority of the appointment of the Prime Minister and the Chief Justice. For exercising any other function the President has to consult the Prime Minister. The President also has the authority to grant pardons, reprieves and respites, and to remit, suspend or commute any sentence passed by any court, tribunal or other authority [Article 49].

The most recent national elections took place in January 2014.   In this election the former main opposition party and its allies did not contest, while in more than 50% of the total constituencies one candidate was declared the winner before the election took place as other candidates were declared illegal by the EC. In the election the former ruling party, Bangladesh Awami Leaguem and its allies got elected in 82% of constituencies, while Jatiya Party got 11% of seats and other parties and individual candidates got 7% of seats."
BE,Belgium,32,39,31,"In law, Belgium provides some direct public funding for parties, though no indirect funding is available. Non-financial resources, by and large, are not abused during election campaigns. Spending during campaigns is limited, as are some forms of contribution, but loopholes exist, including a lack of restrictions on foreign donations and the absence of requirements to mandate the reporting of loans. Violations of the legal regulations pertaining to donations and spending are rare in Belgium. Reporting requirements are relatively sparse: in law, parties must report annually and after elections, while candidates are required to submit only post-election financial reports. In practice, these reports tend to contain only a partially itemized list of donors and the amounts they contribute. Accessing the financial information of political actors is difficult, as reports are only made available to the public for a 15 day period after the conclusion of elections. Further complicating matters is the fact that the information is not accessible in a machine readable format. Despite these issues, few violations of the law occurred during the May 2014 elections in Belgium. The independent activities of third party actors are not regulated by Belgian law, but such organizations have been largely absent to date, with the exception of one organization active during the local elections of 2012. A legislative committee, the Control Commission, is in charge of monitoring and enforcing political finance. As part of the legislature, it cannot be considered independent. Nevertheless, the Commission does have the legal authority to withhold public subsidies from parties it deems in violation of the law, though it rarely does so in practice. Where individual candidates are concerned, the Commission can only refer potential violators to the court system, from whom little information about sanctions is available. The Commission's lack of formal independence, and its weak powers, are seen as impediments to effective enforcement of political finance laws.","The federal Parliament consists of the Chamber of representatives and the Senate. The Chamber can be considered as the lower house, while the Senate is the upper house.

The 150 members of the Chamber are directly elected through a semi-open (flexible list) proportional system in eleven medium sized electoral districts. There is not only an inter-party competition, but also (to some extent) an intra-party competition, as the number of candidates on the lists is higher than the number of seats a party won. Candidates thus want to win as many personal votes as possible. Consequently, both parties and individual candidates set up a campaign. Therefore, campaigns and campaign funds are managed at both the party and the candidate level (e.g. a spending cap for both parties and candidates).

The Senate, on the other hand, is exclusively composed (since 2014) of representatives from the parliaments of the Regions and the parliaments of the Communities (50 members), and of senators chosen by the former (10 members). This means that the members of the Senate are elected indirectly. The number of representatives a party gets in the Senate is based on the party's electoral result in the regional/Communities' elections.

The head of government (prime minister) is not elected, but only appointed as part of the coalition bargaining process. Although the Constitution mentions the King appoints the members of the federal government, this decision is made by the negotiators of the majority parties (i.e. the party leaders).

The last federal elections were held on May 25, 2014.

'Belgium is a federal state, composed of Communities and Regions' (Constitution, article 1). Therefore, there are several other parliaments next to the federal Parliament, of which four are elected directly: the Flemish Parliament, the Parliament of the German Speaking Community, the Walloon Parliament, the Parliament of the Brussels-Capital Region and the Parliament of the French Speaking Community (the latter is composed of members of the Walloon and the Brussels' Parliaments)."
BG,Bulgaria,52,76,36,"Bulgaria's fairly strong legal framework on political finance is often undermined by in practice violations. Parties are entitled to state subsidies, which they usually receive, but little information on those subsidies is available to the public. Subsidized access to advertising is provided for in the law. However, in contravention of the law, some parties are charged higher rates for campaign spots than others. Non-financial state resources, in practice, featured during the 2013 campaign. Contributions are highly restricted in Bulgaria, as is electoral spending. Nevertheless, in practice, many violations of these limits occurred during the 2013 elections, and parties often find ways by which to circumvent the formal system. Parties are required to report their financial information both within and outside of campaigns, but do not always do in practice, nor do they provide complete lists of their contributors. Further, in practice, financial information is not always available to the public. The independent activities of third party actors are not regulated, and some parties use informally affiliated groups to undertake political activities during campaigns. The National Audit Office (NAO) is the oversight authority charged with monitoring political finance, but it lacks the explicit legal power to investigate potential violations. The independence and efficacy of the NAO is somewhat compromised due to deficits of independence and merit regarding its appointees. That said, it has sufficient capacity to carry out its functions, and does sanction parties who fail to comply with reporting requirements. Nevertheless, repeat violators are frequent. The evidence suggests that, because of the fashion in which many ostensibly independent institutions, including the NAO, are compromised by political influence, equitable enforcement of political finance in Bulgaria is lacking.","Bulgaria is a parliamentary system with a unicameral legislature and a directly elected head of state. 

The National Assembly is elected through a proportional electoral system by which 240 MPs elected in 31 electoral districts. Since the 2014 parliamentary election a preference was introduced, where voters could either choose only a party and its pre-determined list, or choose a party and then pick a specific person from the list. The most recent elections took place on October 5th, 2014. 

The President is directly elected as head of state every 5 years. The most recent election took place October 2011. 

Bulgaria has been changing its electoral system in the past few years introducing a majoritarian vote for one of the seats in each of the 31 districts, but this worked against the party which introduced it (BSP) and was later abolished."
BO,Bolivia,30,41,25,"Bolivia's political finance regime, due to recent reforms, does not include direct public funding for political parties or candidates. Political advertising is regulated by the electoral authority, which assures free, equitable access to public media advertising slots for all electoral competitors. Non-financial state resources are frequently abused in Bolivia, especially by MAS, the current ruling party. Very few legal restrictions on contribution and expenditure exist: spending during campaigns is not capped, while limits on individual and corporate donations apply only to contributions to parties. In consequence, parties and candidates are largely privately funded, though MAS avails itself of public resources, legally and illegally, on a regular basis. Reporting requirements mandate that parties submit detailed pre and post election reports on their finances, as well as annual reports. Candidates are under no such obligations. In practice, party reports are quite detailed, and include an itemized list of contributions and contributors. None of that information, however, is made available to the public in any format. As a result, the media does not use official political finance data in its reporting. The independent political activities of third party vehicles, such as social organizations and groups of public employees, are not regulated, despite their presence in the electoral landscape. The Bolivian oversight authority, the Electoral Court (TSE), has no explicit investigatory powers in law. Appointments to that body are supposed to be independent and merit-based, but the MPT evidence suggests that they are often, in practice, compromised. The TSE does not investigate potential violations of political finance laws, but it can and does penalize parties for failing to submit their financial reports in the prescribed format. Because the TSE is subordinated to MAS, enforcement is highly uneven.","Bolivia is a presidential republic with a bicameral legislature. The President is directly elected by the people if he/she obtains a majority of the votes cast in the first round or if he/she wins 40% of the vote and beats the nearest opponent by 10%. Otherwise, the top two candidates compete in a second round run-off election. Campaign funds are jointly managed by parties and candidates.

The Plurinational Legislative Assembly is composed of two houses, the Chamber of Deputies and the Senate. The Chamber of Deputies contains 130 seats: 63 members are elected in single-member districts in first-past-the-post voting, 60 seats are elected via closed-list proportional representation in nine departmental districts, and 7 members are elected in single-member districts in special """"indigenous"""" constituencies. The deputies seats are awarded using the additional member system, which means that the list seats are awarded based on the total list (or presidential) vote, but after taking into account the seats won in the first-past-the-post voting.  But that process does not include in the special indigenous seats, which stand apart.

The Senate has 36 members, 4 from each department, and all of whom are elected in a closed-list proportional representation system. Deputies and Senators serve five year terms. Legislative campaigns are managed at the party level. Candidates must run as representatives of a party ticket; candidates cannot run as independents and parties must contest all seats in the general election.

Presidential and legislative elections are held concurrently, and the list-proportional vote (for both chambers) is the presidential vote. The most recent elections occurred in 2009. In 2009, the incumbent Evo Morales won 64% of the vote and his MAS party elected 88 deputies and 26 senators. The now-defunct PPB party took 26% of the vote and elected 37 deputies and 10 senators. Two smaller parties, UN and AS, elected 3 and 2 deputies each, respectively. New elections were held in October of 2014."
BR,Brazil,54,76,47,"Brazil, in law and in practice, provides a good deal of direct public funding to parties during campaigns. Indirect funding, in the form of free access to advertising on public and private media, is equitably provided to both parties and candidates. Non-financial state resources, in spite of a ban on their use during campaigns, are often deployed for electoral gain. With the exception of cash donations, most forms of contribution are subject to a limit, but expenditure is essentially uncapped, as parties are supposed to set and adhere to their own unique spending limits. This leads to a situation in which parties stipulate extremely high spending limits that enable huge amounts of campaign expenditures. Limits on contributions are often contravened in practice. In law, parties are subject to extensive reporting requirements, and candidates are supposed to report detailed information during campaigns. In practice, political actors often fail to comply with these requirements, and many reports omit contributions. Submitted reports are made available online, but not all are in standardized, machine readable formats. Violations of political finance laws, including vote buying, were frequent during the 2010 elections. The independent activities of third party actors are not regulated, and many such organizations actively participate in campaigning. The Superior Electoral Court (TSE) is charged with monitoring and enforcing political finance laws, and in practice, the TSE is mostly independent, with appointments made based on merit. It has limited capacity due to the scope of its work, but still carries out investigations into violations, and imposes sanctions on violators. However, only some of these sanctions are complied with, and violations continue to occur.","Brazil is led by a directly elected President, and also has a bicameral Parliament.  The President is elected by majority vote in a two round system, and is the head of state.

Members of the lower house of Parliament, the Chamber of Deputies, are elected in a proportional system to four year terms.  There are 513 seats in the chamber, and they're allocated proportionally between the 27 states according to each state's population.  The number of seats for electoral districts varies between 8 and 70, with seats allocated according to an open list system: parties put forward a list of candidates in no order of preference and voters may vote for a party (legenda) or for a candidate (nominal). Votes are totalled in each electoral district, with nominal plus legenda votes determining the distribution of seats among the parties; the candidates of each party receiving the most votes take up the number of seats won by their party.

The 81 members of the Federal Sentate are elected on a majority basis to eight year terms.  The 81 Senate seats are made up of three members for each state and the Federal District. Senators are elected by simple majority for an eight-year term. Part of the Senate is renewed at each election, (two-thirds in one election, one-third in the next election).

Parties and individual candidates both play a role in the management of campaigns and electoral funds.

The most recent elections were held in October 2010, and new elections will occur later this year.

 In the 2010 presidential elections, Dilma Rousseff of the Worker's Party (PT) was elected president. The leftist PT elected 86 federal deputies, while center PMDB elected 78, opposition party PSDB elected 54, minor coalition member PP 44, and nine other parties elected more than 10 deputies, making this a very fragmented Chamber of Deputies."
